Usando a = 6 e q = 251
b	f
250	1
249	42
248	7
247	43
246	49
245	50
244	92
243	99
242	142
241	191
240	241
239	82
238	181
237	72
236	12
235	2
234	84
233	14
232	86
231	98
230	100
229	184
228	198
227	33
226	131
225	231
224	164
223	111
222	144
221	24
220	4
219	168
218	28
217	172
216	196
215	200
214	117
213	145
212	66
211	11
210	211
209	77
208	222
207	37
206	48
205	8
204	85
203	56
202	93
201	141
200	149
199	234
198	39
197	132
196	22
195	171
194	154
193	193
192	74
191	96
190	16
189	170
188	112
187	186
186	31
185	47
184	217
183	78
182	13
181	44
180	91
179	57
178	135
177	148
176	192
175	32
174	89
173	224
172	121
171	62
170	94
169	183
168	156
167	26
166	88
165	182
164	114
163	19
162	45
161	133
160	64
159	178
158	197
157	242
156	124
155	188
154	115
153	61
152	52
151	176
150	113
149	228
148	38
147	90
146	15
145	128
144	105
143	143
142	233
141	248
140	125
139	230
138	122
137	104
136	101
135	226
134	205
133	76
132	180
131	30
130	5
129	210
128	35
127	215
126	245
125	250
124	209
123	244
122	208
121	202
120	201
119	159
118	152
117	109
116	60
115	10
114	169
113	70
112	179
111	239
110	249
109	167
108	237
107	165
106	153
105	151
104	67
103	53
102	218
101	120
100	20
99	87
98	140
97	107
96	227
95	247
94	83
93	223
92	79
91	55
90	51
89	134
88	106
87	185
86	240
85	40
84	174
83	29
82	214
81	203
80	243
79	166
78	195
77	158
76	110
75	102
74	17
73	212
72	119
71	229
70	80
69	97
68	58
67	177
66	155
65	235
64	81
63	139
62	65
61	220
60	204
59	34
58	173
57	238
56	207
55	160
54	194
53	116
52	103
51	59
50	219
49	162
48	27
47	130
46	189
45	157
44	68
43	95
42	225
41	163
40	69
39	137
38	232
37	206
36	118
35	187
34	73
33	54
32	9
31	127
30	63
29	136
28	190
27	199
26	75
25	138
24	23
23	213
22	161
21	236
20	123
19	146
18	108
17	18
16	3
15	126
14	21
13	129
12	147
11	150
10	25
9	46
8	175
7	71
6	221
5	246
4	41
3	216
2	36
1	6
